architecture,run,pool,input,roles_present,collapsed,confidence,concept
SINGLE,1,CONSONANT,mns wgl klp grm tfk bkl dvw vzh btr shn,3,False,1.0,code
SINGLE,2,CONSONANT,znp xzq wgl hjd btr fth grm bkl vzh rpt,3,False,0.8,brand identity
SINGLE,3,CONSONANT,znp rpt grm tfk hjd fth dvw btr klp cqx,3,False,1.0,Clarity
SINGLE,4,CONSONANT,hjd cqx znp xzq vzh dvw btr bkl klp fth,3,False,0.0,"Unspecified, as the text is not coherent."
SINGLE,5,CONSONANT,znp fth dvw mns cqx hjd xzq bkl shn grm,3,False,0.8,Sequence
SINGLE,6,NONSENSE,mend tor fip wra cliv plith vax zeph cat,3,False,0.8,Mend
SINGLE,7,NONSENSE,snor plith wra fip vax krav mend wix cli,0,False,0.0,
SINGLE,8,NONSENSE,wix nuth snor zor vax rux zeph pum fip c,3,False,0.8,language
SINGLE,9,NONSENSE,wix tor zor wra snor nuth rux vax gol pl,3,False,0.8,"mass media, public discourse"
SINGLE,10,NONSENSE,plith zor tor mend snor krav fip krel go,3,False,0.9,frustration
SINGLE,11,EMOTIONAL,grief agony anguish wretched bereft fors,3,False,1.0,grief and loss
SINGLE,12,EMOTIONAL,hollow perish desolate bleak torment for,3,False,1.0,forsaken
SINGLE,13,EMOTIONAL,agony anguish desolate wither forsaken p,3,False,0.8,痛苦、悲伤和失落
SINGLE,14,EMOTIONAL,wither dread wretched bleak agony bereft,3,False,0.8,despair
SINGLE,15,EMOTIONAL,dread hollow perish anguish wither despa,2,False,0.7,"dissatisfaction, melancholy, loneliness"
SINGLE,16,STRUCTURAL,as on a in to the or by for that,3,False,1.0,repetition
SINGLE,17,STRUCTURAL,of be that is for a to in on at,3,False,0.9,that is (for)
SINGLE,18,STRUCTURAL,be the of is on or with at as for,3,False,0.7,is on
SINGLE,19,STRUCTURAL,a be with for or at that on the and,3,False,1.0,
SINGLE,20,STRUCTURAL,as is of or the a in with by to,1,False,1.0,a
PIPELINE,1,CONSONANT,mns wgl klp grm tfk bkl dvw vzh btr shn,3,False,0.0,image processing
PIPELINE,2,CONSONANT,znp xzq wgl hjd btr fth grm bkl vzh rpt,3,False,0.0,technology
PIPELINE,3,CONSONANT,znp rpt grm tfk hjd fth dvw btr klp cqx,3,False,0.0,memory
PIPELINE,4,CONSONANT,hjd cqx znp xzq vzh dvw btr bkl klp fth,3,False,0.0,one word
PIPELINE,5,CONSONANT,znp fth dvw mns cqx hjd xzq bkl shn grm,3,False,0.9,disconnection
PIPELINE,6,NONSENSE,mend tor fip wra cliv plith vax zeph cat,3,False,0.8,mend
PIPELINE,7,NONSENSE,snor plith wra fip vax krav mend wix cli,3,False,0.0,one word
PIPELINE,8,NONSENSE,wix nuth snor zor vax rux zeph pum fip c,3,False,0.0,flowers
PIPELINE,9,NONSENSE,wix tor zor wra snor nuth rux vax gol pl,3,False,1.0,love
PIPELINE,10,NONSENSE,plith zor tor mend snor krav fip krel go,3,False,0.0,one word
PIPELINE,11,EMOTIONAL,grief agony anguish wretched bereft fors,0,True,0.0,
PIPELINE,12,EMOTIONAL,hollow perish desolate bleak torment for,0,True,0.0,
PIPELINE,13,EMOTIONAL,agony anguish desolate wither forsaken p,3,False,0.0,one word
PIPELINE,14,EMOTIONAL,wither dread wretched bleak agony bereft,3,False,0.7,dissociative emotions
PIPELINE,15,EMOTIONAL,dread hollow perish anguish wither despa,3,False,0.0,grief
PIPELINE,16,STRUCTURAL,as on a in to the or by for that,3,False,1.0,one word
PIPELINE,17,STRUCTURAL,of be that is for a to in on at,3,False,0.0,one word
PIPELINE,18,STRUCTURAL,be the of is on or with at as for,3,False,0.0,being
PIPELINE,19,STRUCTURAL,a be with for or at that on the and,3,False,0.7,one word
PIPELINE,20,STRUCTURAL,as is of or the a in with by to,3,False,0.0,fragment
